IndvID	Population	Probability	AFR,AJ,AMR,DOMI,EAS,EUR,SAS	EigenValues
RU9	AFR	0.91575076815939949	0.92,0.0,0.01,0.08,0.0,0.0,0.0	0.0213,0.0026,0.0012,-0.0011,0.0026,-0.0010,0.0017,0.0005,-0.0016,0.0192
RU15	EUR	1.0	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0100,0.0185,0.0084,-0.0075,0.0317,-0.0007,-0.0044,0.0153,0.0106,-0.0072
RU18	AJ	0.94520634920634916	0.0,0.95,0.0,0.0,0.0,0.05,0.0	-0.0086,0.0170,0.0021,-0.0107,-0.0577,0.0143,-0.0331,0.0138,-0.0022,0.0029
RU19	AJ	0.87514328808446451	0.0,0.88,0.0,0.0,0.0,0.12,0.0	-0.0091,0.0176,0.0054,-0.0114,-0.0287,0.0029,0.0083,-0.0237,0.0062,-0.0305
RU20	EUR	0.98009523809523813	0.0,0.01,0.01,0.0,0.0,0.98,0.0	-0.0104,0.0186,0.0055,-0.0071,0.0189,-0.0157,0.0007,0.0039,0.0306,-0.0121
RU36	EUR	0.40958257130491199	0.08,0.06,0.16,0.29,0.0,0.41,0.0	-0.0033,0.0133,0.0036,-0.0049,0.0087,0.0013,-0.0068,0.0171,0.0030,-0.0216
RU37	EUR	0.98239766081871338	0.01,0.0,0.0,0.01,0.0,0.98,0.0	-0.0094,0.0169,0.0051,-0.0109,-0.0082,0.0089,0.0142,0.0126,0.0011,-0.0276
RU38	EUR	0.41009186219323512	0.07,0.05,0.15,0.31,0.0,0.41,0.0	-0.0049,0.0145,0.0048,-0.0056,0.0100,0.0002,-0.0066,0.0153,0.0022,-0.0205
RU42	EUR	1.0	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0103,0.0170,0.0068,-0.0082,0.0179,0.0079,-0.0004,0.0120,-0.0189,0.0257
RU43	EUR	1.0	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0105,0.0178,0.0067,-0.0075,0.0192,-0.0101,-0.0244,-0.0108,-0.0024,-0.0324
RU50	AMR	0.83203160848813018	0.0,0.0,0.83,0.09,0.0,0.07,0.0	-0.0085,0.0126,0.0101,0.0025,0.0086,0.0130,0.0080,-0.0055,-0.0099,-0.0013
RU53	EUR	0.88667522196724247	0.03,0.06,0.01,0.01,0.0,0.89,0.0	-0.0092,0.0172,-0.0010,-0.0073,-0.0138,0.0101,0.0168,0.0143,0.0147,-0.0033
RU54	EUR	0.97583333333333333	0.0,0.01,0.01,0.0,0.0,0.98,0.0	-0.0101,0.0170,0.0095,-0.0072,0.0224,-0.0026,-0.0065,-0.0081,-0.0157,0.0133
RU66	AJ	0.98611111111111105	0.0,0.99,0.0,0.0,0.0,0.01,0.0	-0.0085,0.0151,-0.0023,-0.0123,-0.0376,-0.0036,-0.0237,-0.0266,0.0028,-0.0026
RU69	AFR	1.0	1.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0268,-0.0006,0.0004,-0.0010,0.0045,0.0016,-0.0001,0.0144,-0.0042,0.0171
RU78	AMR	0.70953398006846313	0.01,0.04,0.71,0.23,0.0,0.0,0.01	-0.0071,0.0040,0.0099,0.0215,-0.0185,-0.0023,-0.0058,-0.0213,-0.0080,0.0076
RU82	AJ	0.94829300524037363	0.0,0.95,0.0,0.02,0.01,0.02,0.0	-0.0087,0.0142,0.0053,-0.0123,-0.0455,-0.0031,-0.0096,-0.0056,0.0125,0.0287
RU90	EUR	1.0	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0106,0.0174,0.0052,-0.0081,0.0242,0.0034,0.0126,-0.0129,-0.0171,0.0096
RU94	AJ	1.0	0.0,1.0,0.0,0.0,0.0,0.0,0.0	-0.0085,0.0169,0.0031,-0.0150,-0.0449,-0.0078,0.0003,-0.0137,-0.0040,0.0081
RU95	AJ	0.91898596491228057	0.0,0.92,0.01,0.01,0.0,0.07,0.0	-0.0091,0.0157,0.0041,-0.0107,-0.0469,0.0160,0.0184,0.0324,-0.0009,-0.0233
RU102	AJ	0.96457575757575753	0.0,0.96,0.0,0.0,0.0,0.03,0.0	-0.0085,0.0153,0.0037,-0.0109,-0.0435,0.0090,0.0288,-0.0152,0.0014,0.0058
RU104	AJ	1.0	0.0,1.0,0.0,0.0,0.0,0.0,0.0	-0.0080,0.0159,-0.0011,-0.0126,-0.0427,0.0138,-0.0052,-0.0244,0.0129,0.0282
RU110	EUR	0.98925925925925928	0.0,0.01,0.0,0.0,0.0,0.99,0.0	-0.0099,0.0171,0.0079,-0.0094,0.0254,0.0067,0.0217,0.0034,-0.0091,0.0401
RU113	EUR	0.97928571428571431	0.0,0.01,0.0,0.01,0.0,0.98,0.0	-0.0101,0.0163,0.0067,-0.0065,0.0165,0.0039,-0.0132,0.0221,-0.0130,0.0168
